imm_id	mitocore_id	subsystem	ec-code
PYLALDOXm	ALDD2xm	Limonene and pinene degradation	1.2.1.3
PYLALDOXm	ALDD2x	Limonene and pinene degradation	1.2.1.3
SBTR	ALCD2yf	Fructose and Mannose Metabolism	1.1.1.2
SACCD3m	SACCD3m	Lysine Metabolism	1.5.1.8
SACCD4m	r0525	Lysine Metabolism	1.5.1.9
SEAHCYSHYD	AHC	Selenoamino acid metabolism	3.3.1.1
SELCYSTGL	CYSTGL	Selenoamino acid metabolism	4.4.1.1
SELCYSTGL	r0193	Selenoamino acid metabolism	4.4.1.1
SELCYSTS	CYSTS	Selenoamino acid metabolism	4.2.1.22
SELMETAT	METAT	Selenoamino acid metabolism	2.5.1.6
SPODM	SPODMm	ROS Detoxification	1.15.1.1
SPODMe	SPODMm	ROS Detoxification	1.15.1.1
SPODMm	SPODMm	ROS Detoxification	1.15.1.1
SPODMn	SPODMm	ROS Detoxification	1.15.1.1
SPODMx	SPODMm	ROS Detoxification	1.15.1.1
SSALxm	r0178	Glutamate metabolism	1.2.1.24
RDH1	ALCD2if	Vitamin A Metabolism	1.1.1.1
SUCOAS1m	SUCOAS1m	Citric Acid Cycle	6.2.1.4
SUCOASm	SUCOASm	Citric Acid Cycle	6.2.1.5
T2M26DCOAHLm	r0660	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLm	r0728	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLm	r0731	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLm	r0734	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLm	ECOAH1m	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLm	ECOAH9m	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLm	ECOAH12m	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	r0660	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	r0728	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	r0731	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	r0734	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	ECOAH1m	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	ECOAH9m	Limonene and pinene degradation	4.2.1.17
T2M26DCOAHLx	ECOAH12m	Limonene and pinene degradation	4.2.1.17
TALA	TALA	Pentose Phosphate Pathway	2.2.1.2
SUCD1m	CII_MitoCore	Citric Acid Cycle	1.3.5.1
TKT1	TKT1	Pentose Phosphate Pathway	2.2.1.1
TKT1	TKT2	Pentose Phosphate Pathway	2.2.1.1
TKT2	TKT1	Pentose Phosphate Pathway	2.2.1.1
TKT2	TKT2	Pentose Phosphate Pathway	2.2.1.1
THD1m	NNT_MitoCore	NAD Metabolism	1.6.1.2
TPI	TPI	Glycolysis/Gluconeogenesis	5.3.1.1
THRD_L	THRD_L	Glycine, Serine, and Threonine Metabolism	4.3.1.19
TRYPTAOX	PTRCOX1	Tryptophan metabolism	1.4.3.22
TRYPTAOX	APRTO2m_MitoCore	Tryptophan metabolism	1.4.3.4
TRYPTAOX	AACTOORm_MitoCore	Tryptophan metabolism	1.4.3.4
TYROXDAc	PTRCOX1	Tyrosine metabolism	1.4.3.22
TYROXDAc	APRTO2m_MitoCore	Tyrosine metabolism	1.4.3.4
TYROXDAc	AACTOORm_MitoCore	Tyrosine metabolism	1.4.3.4
TYRTA	ASPTA	Tyrosine metabolism	2.6.1.1
TYRTA	ASPTAm	Tyrosine metabolism	2.6.1.1
TYRTA	3SALATAi	Tyrosine metabolism	2.6.1.1
TYRTA	CYSTA	Tyrosine metabolism	2.6.1.1
TYRTA	CYSTAm	Tyrosine metabolism	2.6.1.1
TYRTAim	ASPTA	Tyrosine metabolism	2.6.1.1
TYRTAim	ASPTAm	Tyrosine metabolism	2.6.1.1
TYRTAim	3SALATAi	Tyrosine metabolism	2.6.1.1
TYRTAim	CYSTA	Tyrosine metabolism	2.6.1.1
TYRTAim	CYSTAm	Tyrosine metabolism	2.6.1.1
UMPK	CYTK1m	Nucleotides	2.7.4.14
UMPKm	CYTK1m	Nucleotides	2.7.4.14
UMPKn	CYTK1m	Nucleotides	2.7.4.14
UPP3S	UPP3S	Heme Biosynthesis	4.2.1.75
UPPDC1	UPPDC1	Heme Biosynthesis	4.1.1.37
URCN	URCN	Histidine Metabolism	4.2.1.49
VALTA	LEUTAm	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42
VALTA	ILETAm	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42
VALTA	VALTAm	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42
VALTAim	LEUTAm	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42
VALTAim	ILETAm	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42
VALTAim	VALTAm	Valine, Leucine, and Isoleucine Metabolism	2.6.1.42
